,RefSeq mRNA ID,Transcript stable ID
1160,,ENST00000823338
1161,,ENST00000849368
1162,,ENST00000758019
1163,,ENST00000823339
1164,,ENST00000758020
1165,,ENST00000849529
1166,,ENST00000823340
1167,,ENST00000758021
1168,,ENST00000849530
1169,,ENST00000823341
1170,,ENST00000758022
1171,,ENST00000823342
1172,,ENST00000822099
1173,,ENST00000849220
1174,,ENST00000620032
1175,,ENST00000789624
1176,,ENST00000823593
1177,,ENST00000823594
1178,,ENST00000823595
1179,,ENST00000823596
1180,,ENST00000823597
1181,,ENST00000823598
1182,,ENST00000823599
1183,,ENST00000823600
1184,,ENST00000823601
1185,,ENST00000823602
1186,,ENST00000823603
1187,,ENST00000823604
1188,,ENST00000823605
1189,,ENST00000823606
1190,,ENST00000823607
1191,,ENST00000823608
1192,,ENST00000823609
1193,,ENST00000817670
1194,,ENST00000823610
1195,,ENST00000817671
1196,,ENST00000823611
1197,,ENST00000817672
1198,,ENST00000823612
1199,,ENST00000817673
1200,,ENST00000823613
1201,,ENST00000817674
1202,,ENST00000823614
1203,,ENST00000817675
1204,,ENST00000823615
1205,,ENST00000817676
1206,,ENST00000823616
1207,,ENST00000817677
1208,,ENST00000823617
1209,,ENST00000817678
1210,,ENST00000823618
1211,,ENST00000817679
1212,,ENST00000823619
1213,,ENST00000817680
1214,,ENST00000823620
1215,,ENST00000817681
1216,,ENST00000823621
1217,,ENST00000817682
1218,,ENST00000823622
1219,,ENST00000817683
1220,,ENST00000823623
1221,,ENST00000817684
1222,,ENST00000823624
1223,,ENST00000817685
1224,,ENST00000823625
1225,,ENST00000817686
1226,,ENST00000823626
1227,,ENST00000817687
1228,,ENST00000823627
1229,,ENST00000817688
1230,,ENST00000823628
1231,,ENST00000817689
1232,,ENST00000823629
1233,,ENST00000817690
1234,,ENST00000823630
1235,,ENST00000817691
1236,,ENST00000823631
